Year,Rate of ice sheet mass change (Gt/yr),Rate of ice sheet mass change uncertainty (Gt/yr),Cumulative ice sheet mass change (Gt),Cumulative ice sheet mass change uncertainty (Gt),Rate of mass balance anomaly (Gt/yr),Rate of mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Rate of ice dynamics anomaly (Gt/yr),Rate of ice dyanamics anomaly uncertainty (Gt/yr),Cumulative ice dynamics anomaly (Gt),Cumulative ice dynamics anomaly uncertainty (Gt)
2017.58,-85,75,-3874,339,32,111,-2003,494,-117,134,-1899,536
2017.67,-85,75,-3881,340,32,111,-2000,495,-117,134,-1909,537
2017.75,-85,75,-3888,340,32,111,-1997,496,-117,134,-1919,539
2017.83,-85,75,-3895,341,32,111,-1995,497,-117,134,-1928,540
2017.92,-85,75,-3902,342,32,111,-1992,498,-117,134,-1938,541
2018.00,-75,66,-3908,342,46,77,-1988,498,-121,101,-1948,542
2018.08,-144,57,-3920,343,46,77,-1984,499,-189,96,-1964,543
2018.17,-144,57,-3932,343,46,77,-1980,499,-189,96,-1980,544
2018.25,-144,57,-3944,343,46,77,-1977,500,-189,96,-1996,544
2018.33,-144,57,-3956,344,46,77,-1973,500,-189,96,-2011,545
2018.42,-144,57,-3968,344,46,77,-1969,501,-189,96,-2027,546
2018.50,-144,57,-3980,344,46,77,-1965,501,-189,96,-2043,546
2018.58,-144,57,-3992,345,46,77,-1961,502,-189,96,-2059,547
2018.67,-144,57,-4004,345,46,77,-1958,502,-189,96,-2075,548
2018.75,-144,57,-4016,346,46,77,-1954,503,-189,96,-2090,548
2018.83,-144,57,-4028,346,46,77,-1950,503,-189,96,-2106,549
2018.92,-144,57,-4040,346,46,77,-1946,504,-189,96,-2122,550
